"hour","acayear","n","mean","sd","se","lci","uci"
19,"2012-2013",497,22.7263581488934,15.7758546563285,0.707643793661363,21.3394017994338,24.1133144983529
19,"2013-2014",459,22.7069716775599,18.2627199011854,0.852430765260396,21.0362380783356,24.3777052767842
19,"2014-2015",341,17.4017595307918,16.9331695848433,0.916982543940548,15.6045067702164,19.1990122913672
20,"2012-2013",358,32.8798882681564,13.7341031299098,0.725869905358794,31.4572093961917,34.3025671401212
20,"2013-2014",339,32.9926253687316,14.7843203728093,0.802974060506443,31.4188251296191,34.5664256078441
20,"2014-2015",255,29.878431372549,12.7244775231984,0.796837691639386,28.3166581954118,31.4402045496862
21,"2012-2013",330,37.2287878787879,13.6878994455491,0.753494065512138,35.7519666478194,38.7056091097563
21,"2013-2014",296,35.0016891891892,15.5322790360018,0.902795381122668,33.2322427567796,36.7711356215987
21,"2014-2015",263,33.7034220532319,12.5303245786525,0.772652913597811,32.1890501700303,35.2177939364336
22,"2012-2013",296,42.4408783783784,13.6110891196276,0.791128485444202,40.890295039764,43.9914617169927
22,"2013-2014",278,39.1007194244604,15.1377763838944,0.907903494239209,37.3212612743135,40.8801775746073
22,"2014-2015",230,35.9717391304348,11.2838653416971,0.744036047074257,34.5134552749697,37.4300229858999
23,"2012-2013",268,43.5074626865672,13.5018357851031,0.824755887828062,41.8909708503868,45.1239545227475
23,"2013-2014",253,42.600790513834,14.8878319125099,0.935989972952162,40.7662838769571,44.4352971507108
23,"2014-2015",208,36.7163461538462,11.6016333230997,0.804428535107067,35.1396951969,38.2929971107923
24,"2012-2013",277,39.3231046931408,12.9946800890138,0.780774656091619,37.7928144871596,40.853394899122
24,"2013-2014",255,38.5823529411765,13.929627772304,0.872307127679106,36.8726623874678,40.2920434948851
24,"2014-2015",224,33.2924107142857,12.0162627279512,0.802870324954554,31.7188137931188,34.8660076354526
25,"2012-2013",294,26.6241496598639,12.4451998144349,0.725818792674892,25.2015709669188,28.0467283528091
25,"2013-2014",252,27.9166666666667,12.6406430443117,0.796285664456836,26.3559754429257,29.4773578904076
25,"2014-2015",170,23.5735294117647,10.4620562321964,0.802403084144704,22.0008482657572,25.1462105577722
26,"2012-2013",53,15.3396226415094,10.0626755048745,1.38221478218222,12.6305314495334,18.0487138334855
26,"2013-2014",23,12.0652173913043,3.34155770639059,0.696762947185937,10.6995871090579,13.4308476735508
26,"2014-2015",3,13.3333333333333,5.77350269189626,3.33333333333333,6.80012005153315,19.8665466151335
